course_id,grade,user_id,course_active,course_end_enroll_time,course_name,course_start_enroll_time,user_department,user_institute,user_position,course_group,course_tag,user_gender,user_age,user_age_group,institute,state
368,A+,3492,False,01-01-2199,Basic Programming Using Python,13-01-2018,AERODYNAMICS,IIT BOMBAY,Postgraduate Student,Self,Basic,Male,29,26-35,BI,Uttaranchal
368,B+,26,False,01-01-2199,Basic Programming Using Python,13-01-2018,,,Postgraduate Student,Self,Basic,Female,60,56-65,AQ,Jharkhand
368,A,5549,False,01-01-2199,Basic Programming Using Python,13-01-2018,Aerospace,IITB,School Student,Self,Basic,Male,47,46-55,CZ,Jammu and Kashmir
368,A,2508,False,01-01-2199,Basic Programming Using Python,13-01-2018,CSE,KIT,Industry Professional,Self,Basic,Male,43,36-45,CN,Chhattisgarh
372,B,2508,False,19-01-2018,"ISCP Workshop, S.S. College of Business Studies, University of Delhi (18/01/2018)",17-01-2018,CSE,KIT,School Student,Instructor,Basic,Male,16,16-25,CN,Chhattisgarh
372,C,2508,False,19-01-2018,"ISCP Workshop, S.S. College of Business Studies, University of Delhi (18/01/2018)",17-01-2018,CSE,KIT,Graduate Student,Instructor,Advanced,Male,48,46-55,AO,Bihar
372,A+,2508,False,19-01-2018,"ISCP Workshop, S.S. College of Business Studies, University of Delhi (18/01/2018)",17-01-2018,CSE,KIT,Faculty,Instructor,Intermediate,Female,51,46-55,AN,Kerala
374,A,2508,False,27-01-2018,"BPPy Workshop, S.S. College of Business Studies, University of Delhi (19/01/2018)",19-01-2018,CSE,KIT,Graduate Student,Self,Basic,Male,16,16-25,DB,Mizoram
399,P,2508,False,16-02-2018,ISCP Workshop RVR & JC College of Engineering(15/2/2018),14-02-2018,CSE,KIT,Graduate Student,Instructor,Basic,Female,53,46-55,DI,Karnataka
412,A+,2508,False,06-04-2018,Basic Programming Using Python(01 - 31March),27-02-2018,CSE,KIT,Faculty,Self,Advanced,Male,55,46-55,CD,Uttaranchal
482,A+,2508,False,31-05-2018,Basic Programming Using Python(01 - 31 May),01-05-2018,CSE,KIT,Postgraduate Student,Self,Basic,Female,17,16-25,BW,Goa
463,A+,2508,True,20-05-2018,Kendriya Vidyalaya_teacher_training(15-05-2018),15-05-2018,CSE,KIT,Faculty,Self,Basic,Male,40,36-45,BA,Uttar Pradesh
483,B,2508,False,31-05-2018,"Basics of Python, Ramdeo Baba College of Engineering and Management",25-05-2018,CSE,KIT,Graduate Student,Self,Advanced,Male,22,16-25,BO,Maharashtra
499,A,2508,True,30-06-2018,Basic Programming Using Python(01 - 30 June),01-06-2018,CSE,KIT,Graduate Student,Self,Basic,Female,33,26-35,CK,Haryana
368,A+,3472,False,01-01-2199,Basic Programming Using Python,13-01-2018,Aerospace Engg.,IIT Bombay,Graduate Student,Self,Advanced,Female,20,16-25,AB,Tripura
368,A,5661,False,01-01-2199,Basic Programming Using Python,13-01-2018,Computer Science,Thakur College Of Enginnering & Technology,Faculty,Self,Advanced,Male,37,36-45,BL,Manipur
368,B+,5544,False,01-01-2199,Basic Programming Using Python,13-01-2018,Aerospace,IITB,Graduate Student,Self,Intermediate,Male,43,36-45,CE,Tripura
368,A+,5944,False,01-01-2199,Basic Programming Using Python,13-01-2018,AERO,IITB,Graduate Student,Self,Intermediate,Female,41,36-45,CZ,Jammu and Kashmir
368,A,6052,False,01-01-2199,Basic Programming Using Python,13-01-2018,,,Faculty,Self,Intermediate,Female,60,56-65,DL,Assam
368,A+,6056,False,01-01-2199,Basic Programming Using Python,13-01-2018,,,Graduate Student,Self,Advanced,Male,41,36-45,CS,Uttaranchal
412,B,6056,False,06-04-2018,Basic Programming Using Python(01 - 31March),27-02-2018,,,School Student,Self,Intermediate,Male,36,36-45,BM,Rajasthan
451,A,6056,False,06-05-2018,Basic Programming Using Python(01 - 30April),30-03-2018,,,others,Self,Advanced,Female,62,56-65,BY,Kerala
368,B,6066,False,01-01-2199,Basic Programming Using Python,13-01-2018,Computer Science and Engineering,Techno India College of Technology,Faculty,Self,Intermediate,Male,16,16-25,DV,Kerala
412,A+,6066,False,06-04-2018,Basic Programming Using Python(01 - 31March),27-02-2018,Computer Science and Engineering,Techno India College of Technology,Graduate Student,Self,Basic,Male,31,26-35,CT,Bihar
368,A,5236,False,01-01-2199,Basic Programming Using Python,13-01-2018,MCA,Lal Bahadur Shastri Institute of Management,Graduate Student,Self,Intermediate,Female,60,56-65,BS,Jharkhand
364,B+,5236,False,17-01-2018,"Basic Programming Using Python,Lal Bahadur Shastri Institute of Management, Delhi",12-01-2018,MCA,Lal Bahadur Shastri Institute of Management,School Student,Self,Basic,Male,55,46-55,CC,Punjab
368,B+,6140,False,01-01-2199,Basic Programming Using Python,13-01-2018,CSE,Shiva Institute of Enginnering and technology Bilspur HP,Graduate Student,Self,Advanced,Male,45,36-45,BB,Chhattisgarh
368,P,6157,False,01-01-2199,Basic Programming Using Python,13-01-2018,COMPUTER SCIENCE AND ENGINEERING,COLLEGE OF ENGINEERING ARANMULA,Graduate Student,Self,Basic,Male,47,46-55,AJ,West Bengal
368,P,6159,False,01-01-2199,Basic Programming Using Python,13-01-2018,,,Graduate Student,Self,Advanced,Male,39,36-45,CG,Madya Pradesh
368,B+,6162,False,01-01-2199,Basic Programming Using Python,13-01-2018,Computer Science,JNTU PULIVENDULA,others,Self,Advanced,Female,56,56-65,DP,Chhattisgarh
368,F,6167,False,01-01-2199,Basic Programming Using Python,13-01-2018,CSE,NIT DURGAPUR,Graduate Student,Self,Basic,Male,63,56-65,AX,Arunachal Pradesh
368,F,6142,False,01-01-2199,Basic Programming Using Python,13-01-2018,Computer Science And Technology,Techno India College Of technology,Postgraduate Student,Self,Basic,Male,26,26-35,DG,Himachal Pradesh
368,C,6207,False,01-01-2199,Basic Programming Using Python,13-01-2018,Computer Engineering,BVM Engineering College,Graduate Student,Self,Intermediate,Male,17,16-25,CZ,Jammu and Kashmir
412,A,6207,False,06-04-2018,Basic Programming Using Python(01 - 31March),27-02-2018,Computer Engineering,BVM Engineering College,Graduate Student,Self,Basic,Male,48,46-55,AF,Kerala
368,A,6155,False,01-01-2199,Basic Programming Using Python,13-01-2018,Computer Science & Engg.,National Institute of Technical Teachers Training & Research,Graduate Student,Self,Basic,Female,33,26-35,AL,Goa
412,C,6155,False,06-04-2018,Basic Programming Using Python(01 - 31March),27-02-2018,Computer Science & Engg.,National Institute of Technical Teachers Training & Research,Graduate Student,Self,Advanced,Male,19,16-25,CN,Chhattisgarh
368,A+,6218,False,01-01-2199,Basic Programming Using Python,13-01-2018,CSE,ADI SHANKARA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Graduate Student,Self,Advanced,Male,59,56-65,CP,Andra Pradesh
368,B,6222,False,01-01-2199,Basic Programming Using Python,13-01-2018,,,Industry Professional,Self,Advanced,Female,23,16-25,AE,Haryana
368,A,6169,False,01-01-2199,Basic Programming Using Python,13-01-2018,Information Technology,"Amity University, Kolkata",Graduate Student,Self,Intermediate,Male,28,26-35,BI,Uttaranchal
368,A+,6237,False,01-01-2199,Basic Programming Using Python,13-01-2018,Computer Science and Engineering,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,Graduate Student,Self,Basic,Female,29,26-35,CA,Tamil Nadu
